strategy_code,future_id,region,time_period,difference_variable,variable_value_baseline,variable_value_pathway,difference_value,variable,value
PFLO:NDC,0.0,mexico,8.0,pop_unimproved_rural,2968850.3293364733,2968850.3293364733,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0
PFLO:NDC,0.0,mexico,9.0,pop_unimproved_rural,2948158.8704854287,2948158.8704854287,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0
PFLO:NDC,0.0,mexico,10.0,pop_unimproved_rural,2927467.411634384,2927467.411634384,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,11.0,pop_unimproved_rural,2899871.0013603796,2899871.0013603796,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,12.0,pop_unimproved_rural,2872274.591086375,2872274.591086375,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,13.0,pop_unimproved_rural,2844678.1808123705,2844678.1808123705,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,14.0,pop_unimproved_rural,2817081.770538366,2817081.770538366,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,15.0,pop_unimproved_rural,2789485.360264361,2789485.360264361,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,16.0,pop_unimproved_rural,2755434.1558257765,2755434.1558257765,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,17.0,pop_unimproved_rural,2721382.951387191,2721382.951387191,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,18.0,pop_unimproved_rural,2687331.746948607,2687331.746948607,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,19.0,pop_unimproved_rural,2653280.542510022,2653280.542510022,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,20.0,pop_unimproved_rural,2619229.338071437,2619229.338071437,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,21.0,pop_unimproved_rural,2579577.5009812866,2579577.5009812866,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,22.0,pop_unimproved_rural,2539925.6638911352,2539925.6638911352,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,23.0,pop_unimproved_rural,2500273.8268009843,2500273.8268009843,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,24.0,pop_unimproved_rural,2460621.989710834,2460621.989710834,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,25.0,pop_unimproved_rural,2420970.1526206825,2420970.1526206825,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,26.0,pop_unimproved_rural,2376499.3075222285,2376499.3075222285,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,27.0,pop_unimproved_rural,2332028.462423774,2332028.462423774,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,28.0,pop_unimproved_rural,2287557.6173253194,2287557.6173253194,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,29.0,pop_unimproved_rural,2243086.7722268654,2243086.7722268654,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,30.0,pop_unimproved_rural,2198615.927128411,2198615.927128411,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,31.0,pop_unimproved_rural,2150210.5490399916,2150210.5490399916,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,32.0,pop_unimproved_rural,2101805.170951573,2101805.170951573,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,33.0,pop_unimproved_rural,2053399.7928631539,2053399.7928631539,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
PFLO:NDC,0.0,mexico,34.0,pop_unimproved_rural,2004994.4147747348,2004994.4147747348,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0
