mex_sector,mex_subsector,ID,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Code
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCH4,CH4,0.83789058,0.87749304,0.88756625,0.86863094,0.87809594,0.87251101,0.88336195,0.91260662,0.94262883,0.95340217,0.98240004,0.94488831,0.94836626,0.95701933,0.99162209,0.99597899,0.9924541,1.02031686,1.03797395,0.9654605,1.03479114,1.07309449,1.05667289,1.07973246,1.06093202,1.11232001,1.12959801,1.11367592,1.10993329,1.07518551,0.93842417,1.04211135,1.05366023,1.20786807,MEX
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCO2,CO2,267.3663472,276.7520069,278.9408483,278.6617017,298.7090475,284.9726494,293.9226867,308.0467907,327.501787,325.9960583,340.1317678,341.2070247,345.3171295,358.4273982,373.6461327,385.1627399,391.6600422,405.7804406,412.7116559,408.8622507,413.1156159,437.0668127,434.4852151,435.2421501,411.7349722,455.2226041,483.1158488,472.9497245,476.8257178,469.4932164,385.6886889,423.7934489,426.7795082,418.8662952,MEX
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleN2O,N2O,2.87305595,3.00198551,3.02992328,3.08358287,3.2008301,3.07746179,3.12612315,3.26027597,3.32347999,3.26891753,3.38481704,3.33686043,3.34485902,3.46043473,3.59357528,3.65315865,3.70980312,3.76791699,3.76203293,3.50290243,3.35857274,3.3048055,3.16650312,3.05493876,2.98375826,3.05347398,2.96872892,2.84605154,2.83574428,2.59196886,1.93835229,2.34699044,2.46757935,2.30059007,MEX
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCH4,CH4,12.82437025,13.03332105,12.92719255,13.91827435,13.88214587,15.50006742,21.30723355,26.05571147,27.90400907,23.97657476,25.07341725,23.53233496,22.5095091,23.45602442,22.10225142,22.68925358,24.46191599,31.62443431,48.01300581,42.26158275,30.49216834,26.12569537,20.99588093,20.2856373,27.09568616,23.90127071,24.03606768,16.77435219,15.91310531,17.02143771,30.94606239,33.16275455,23.3739434,19.06998853,MEX
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCO2,CO2,10.43169635,10.87911133,10.84912218,12.16190165,12.24587914,13.58138544,18.4601286,22.73210571,24.3521404,19.66829499,19.4968067,17.35532104,15.58258688,15.66260415,13.54667172,13.90997178,15.86519413,21.91440168,39.49824931,32.90325281,22.62486061,16.97556816,12.31546793,12.7482997,17.58431446,16.12670819,18.17011273,11.00275505,11.03722074,12.39914382,15.78673747,17.74453468,22.19133669,18.54953735,MEX
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesN2O,N2O,0.00678464,0.00940478,0.00957261,0.01182468,0.01156309,0.01623172,0.02935638,0.04164833,0.04548626,0.03318612,0.03216937,0.02568698,0.02054731,0.01987591,0.01361671,0.01539497,0.02098164,0.03836265,0.08813466,0.06895885,0.0414548,0.02564382,0.0122205,0.01200941,0.02268784,0.04061339,0.0492385,0.0241838,0.01662144,0.02960297,0.01094364,0.01130125,0.01026441,0.00852168,MEX
[2] Procesos industriales y uso de productos,[2A] Industria de los minerales,[2A] Industria de los mineralesCO2,CO2,13.14580609,13.44675763,14.47418223,15.50466815,17.44654512,15.20482291,17.32168984,20.11359442,20.47838611,23.7473257,26.27192719,28.5958297,26.79767139,25.41223816,32.95626037,26.584331,31.87647033,28.6322275,29.76800554,28.49050751,29.80664455,26.17318615,26.52805684,26.38143943,26.91366185,27.35740934,28.49747298,28.67121405,30.82382983,30.91858697,30.67899066,29.55239969,29.80498169,30.14890201,MEX
[2] Procesos industriales y uso de productos,[2A] Industria de los minerales,[2A] Industria de los mineralesHFCs,HFCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[2] Procesos industriales y uso de productos,[2A] Industria de los minerales,[2A] Industria de los mineralesNF3,NF3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[2] Procesos industriales y uso de productos,[2A] Industria de los minerales,[2A] Industria de los mineralesPFCs,PFCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[2] Procesos industriales y uso de productos,[2A] Industria de los minerales,[2A] Industria de los mineralesSF6,SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[2] Procesos industriales y uso de productos,[2B] Industria química,[2B] Industria químicaCH4,CH4,0.25795358,0.25960545,0.2777827,0.24602004,0.24822203,0.25778539,0.25486178,0.24700346,0.24054972,0.2212401,0.22304832,0.20648308,0.19358862,0.19344738,0.19542049,0.20417449,0.21339941,0.18457336,0.19874748,0.20924263,0.20943222,0.21687175,0.21697979,0.20245562,0.19483139,0.18178357,0.15175671,0.27208109,0.27541918,0.23700005,0.2081213,0.17925164,0.16852963,0.17562158,MEX
[2] Procesos industriales y uso de productos,[2B] Industria química,[2B] Industria químicaCO2,CO2,5.49664551,5.47506631,5.63045285,4.72036199,5.20048066,5.1927041,5.29813761,4.85983082,4.43599217,3.53998362,3.24470778,2.71471597,2.63580061,2.4913729,2.69347061,2.6072492,2.75497918,2.82893278,2.99573103,2.87735884,3.15907198,3.13172256,3.16308724,2.88464919,2.88011726,2.45366349,2.2040219,3.12024675,2.8342493,2.35783087,2.44691518,2.35438386,2.20256088,2.22056683,MEX
[2] Procesos industriales y uso de productos,[2B] Industria química,[2B] Industria químicaHFCS,HFCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33973568,MEX
