sector,subsector,transformer_code,transformer_name,transformer_description,transformer_unit,maximum_magnitude,strategy_PFLO_NDC_3,strategy_PFLO_PEMEX_CFE_2050,strategy_PFLO_PEMEX_CFE_2060,strategy_PFLO_PEMEX_CFE_NDC,strategy_PFLO_RENEWABLES_2050,strategy_PFLO_RENEWABLES_2060,strategy_PFLO_RENEWABLES_NDC,year
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2027
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.013636363636363637,0.0,0.0,0.013636363636363637,0.0,0.0,0.013636363636363637,2028
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.027272727272727275,0.0,0.0,0.027272727272727275,0.0,0.0,0.027272727272727275,2029
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.04090909090909091,0.0,0.0,0.04090909090909091,0.0,0.0,0.04090909090909091,2030
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.05454545454545455,0.0,0.0,0.05454545454545455,0.0,0.0,0.05454545454545455,2031
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.06818181818181819,0.0,0.0,0.06818181818181819,0.0,0.0,0.06818181818181819,2032
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.08181818181818182,0.0,0.0,0.08181818181818182,0.0,0.0,0.08181818181818182,2033
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.09545454545454546,0.0,0.0,0.09545454545454546,0.0,0.0,0.09545454545454546,2034
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.1090909090909091,0.0,0.0,0.1090909090909091,0.0,0.0,0.1090909090909091,2035
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.12272727272727273,0.0,0.0,0.12272727272727273,0.0,0.0,0.12272727272727273,2036
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.13636363636363638,0.0,0.0,0.13636363636363638,0.0,0.0,0.13636363636363638,2037
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.15,2038
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.16363636363636364,0.0,0.0,0.16363636363636364,0.0,0.0,0.16363636363636364,2039
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.17727272727272728,0.0,0.0,0.17727272727272728,0.0,0.0,0.17727272727272728,2040
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.19090909090909092,0.0,0.0,0.19090909090909092,0.0,0.0,0.19090909090909092,2041
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.20454545454545453,0.0,0.0,0.20454545454545453,0.0,0.0,0.20454545454545453,2042
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.2181818181818182,0.0,0.0,0.2181818181818182,0.0,0.0,0.2181818181818182,2043
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.2318181818181818,0.0,0.0,0.2318181818181818,0.0,0.0,0.2318181818181818,2044
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.24545454545454545,0.0,0.0,0.24545454545454545,0.0,0.0,0.24545454545454545,2045
AFOLU,AGRC,TFR:AGRC:DEC_CH4_RICE,AGRC: Improve rice management,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,Fractional reduction in methane emitted from rice production,0.0,0.2590909090909091,0.0,0.0,0.2590909090909091,0.0,0.0,0.2590909090909091,2046
